ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source
600036.SH,20260225,37.897,38.147,37.717,37.777,37.937,-0.1599999999999966,-0.42175185175421515,723971.0,,tushare_legacy_get_k_data
600036.SH,20260226,37.797,38.017,37.497,37.697,37.777,-0.0799999999999983,-0.21176906583370383,593325.0,,tushare_legacy_get_k_data
600036.SH,20260227,37.747,37.947,37.637,37.747,37.697,0.04999999999999716,0.13263654932752514,637035.0,,tushare_legacy_get_k_data
600036.SH,20260302,37.597,37.867,37.417,37.667,37.747,-0.0799999999999983,-0.21193737250641984,685473.0,,tushare_legacy_get_k_data
600036.SH,20260303,37.657,38.547,37.557,38.177,37.667,0.509999999999998,1.3539703188467307,1384656.0,,tushare_legacy_get_k_data
600036.SH,20260304,38.007,38.027,37.007,37.597,38.177,-0.5799999999999983,-1.5192393325824405,1151939.0,,tushare_legacy_get_k_data
600036.SH,20260305,37.657,38.237,37.627,38.147,37.597,0.5499999999999972,1.4628826768093124,783370.0,,tushare_legacy_get_k_data
600036.SH,20260306,38.097,38.317,37.947,38.197,38.147,0.05000000000000426,0.13107190604766894,465957.0,,tushare_legacy_get_k_data
600036.SH,20260309,37.897,38.177,37.747,37.787,38.197,-0.4100000000000037,-1.0733827263921347,766775.0,,tushare_legacy_get_k_data
600036.SH,20260310,37.937,38.237,37.797,38.217,37.787,0.4299999999999997,1.1379574986106324,613717.0,,tushare_legacy_get_k_data
600036.SH,20260311,38.297,38.497,37.947,38.497,38.217,0.28000000000000114,0.732658241096897,689407.0,,tushare_legacy_get_k_data
600036.SH,20260312,38.447,38.577,38.327,38.497,38.497,0.0,0.0,527723.0,,tushare_legacy_get_k_data
600036.SH,20260313,38.457,39.047,38.347,38.757,38.497,0.259999999999998,0.6753773021274333,765277.0,,tushare_legacy_get_k_data
600036.SH,20260316,38.767,39.037,38.637,38.907,38.757,0.14999999999999858,0.38702685966405703,610945.0,,tushare_legacy_get_k_data
600036.SH,20260317,38.887,39.357,38.827,39.117,38.907,0.21000000000000085,0.539748631351687,656229.0,,tushare_legacy_get_k_data
600036.SH,20260318,39.127,39.317,38.787,38.917,39.117,-0.19999999999999574,-0.5112866528619162,705831.0,,tushare_legacy_get_k_data
600036.SH,20260319,38.877,39.037,38.697,38.767,38.917,-0.14999999999999858,-0.38543567078654206,650247.0,,tushare_legacy_get_k_data
600036.SH,20260320,38.847,39.077,38.657,38.747,38.767,-0.020000000000003126,-0.0515902700750719,615803.0,,tushare_legacy_get_k_data
600036.SH,20260323,38.577,38.697,37.547,37.677,38.747,-1.0700000000000003,-2.7615041164477256,957738.0,,tushare_legacy_get_k_data
600036.SH,20260324,37.797,38.317,37.727,38.247,37.677,0.5700000000000003,1.512859304084721,616336.0,,tushare_legacy_get_k_data
600036.SH,20260325,38.327,38.397,37.937,38.257,38.247,0.00999999999999801,0.026145841503903602,653817.0,,tushare_legacy_get_k_data
600036.SH,20260326,38.147,38.687,38.137,38.557,38.257,0.30000000000000426,0.7841702172151613,616790.0,,tushare_legacy_get_k_data
600036.SH,20260327,38.497,38.697,38.247,38.437,38.557,-0.12000000000000455,-0.3112275332624544,468007.0,,tushare_legacy_get_k_data
