ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,rsi14,macd_dif,macd_dea,macd_hist,bb_middle,bb_upper,bb_lower,kdj_k,kdj_d,kdj_j
000776.SZ,20260108,22.88,22.88,22.11,22.26,23.16,-0.8999999999999986,-3.8860103626942943,1295057.0,,tushare_legacy_get_k_data,51.97625325740696,0.30881458774717174,0.16748854030029794,0.2826520948937476,21.8995,23.367743508413984,20.431256491586016,52.02494035623727,62.45723187444234,31.160357319827142
000776.SZ,20260109,22.23,22.44,22.1,22.31,22.26,0.0499999999999971,0.2246181491464382,747853.0,,tushare_legacy_get_k_data,52.4526683459166,0.2802571325939951,0.19004225875903738,0.18042974766991543,21.9645,23.383760018460254,20.545239981539748,41.49810838563962,55.47085737817477,13.552610400569307
000776.SZ,20260112,22.31,22.74,22.15,22.71,22.31,0.4000000000000021,1.792917974002699,979913.0,,tushare_legacy_get_k_data,56.196473307360634,0.2865980764757623,0.20935342230238238,0.15448930834675983,22.069499999999998,23.378858239749455,20.76014176025054,40.40614633116714,50.449287029172226,20.31986493515697
000776.SZ,20260113,22.75,23.48,22.63,22.86,22.71,0.1499999999999985,0.6605019815059382,970760.0,,tushare_legacy_get_k_data,57.5464221600265,0.30026578947172666,0.22753589573625124,0.14545978747095084,22.165,23.410897267032798,20.9191027329672,41.900393850407696,47.59965596958405,30.50186961205499
000776.SZ,20260114,22.83,23.32,22.42,22.49,22.86,-0.370000000000001,-1.618547681539812,1060952.0,,tushare_legacy_get_k_data,53.19182230341814,0.27803660974523936,0.23763603853804888,0.08080114241438097,22.222500000000004,23.41582937615723,21.029170623842777,36.64919223054698,43.94950138990502,22.048573911830886
000776.SZ,20260115,22.4,22.89,22.38,22.55,22.49,0.0600000000000022,0.2667852378835139,669078.0,,tushare_legacy_get_k_data,53.80232037855556,0.2622384021561679,0.24255651126167269,0.039363781788990415,22.291000000000004,23.390707233767152,21.191292766232856,32.18857039792243,40.02919105924416,16.507329075278975
000776.SZ,20260116,22.65,22.88,22.35,22.56,22.55,0.009999999999998,0.0443458980044257,557020.0,,tushare_legacy_get_k_data,53.910215219299154,0.24767013806608418,0.243579236622555,0.008181802887058331,22.327499999999997,23.411933031588298,21.243066968411696,29.125713598614908,36.394698572367744,14.587743651109236
000776.SZ,20260119,22.4,22.49,22.16,22.43,22.56,-0.129999999999999,-0.5762411347517686,498568.0,,tushare_legacy_get_k_data,52.20332071100807,0.2230634338579982,0.23947607606964366,-0.03282528442329091,22.368,23.403096130801284,21.332903869198713,25.88773063437069,32.89237592636872,11.878440050374635
000776.SZ,20260120,22.38,22.92,22.35,22.77,22.43,0.3399999999999998,1.5158270173874269,588823.0,,tushare_legacy_get_k_data,56.1167264757677,0.22836515068804175,0.23725389099332328,-0.017777480610563057,22.424,23.41803018062823,21.42996981937177,33.44206196880748,33.07560460718164,34.17497669205916
000776.SZ,20260121,22.66,22.86,22.47,22.57,22.77,-0.1999999999999993,-0.8783487044356578,504191.0,,tushare_legacy_get_k_data,53.34962982893585,0.21396204962111653,0.23259552271888195,-0.03726694619553084,22.4725,23.392910234623557,21.552089765376444,33.64736498403588,33.266191399466386,34.40971215317488
000776.SZ,20260122,22.56,22.9,22.49,22.59,22.57,0.0199999999999995,0.0886132033672998,445482.0,,tushare_legacy_get_k_data,53.59604739134145,0.2018346963678752,0.2264433574486806,-0.04921732216161079,22.5065,23.390813858310377,21.62218614168962,33.459145578329704,33.33050945908749,33.71641781681414
000776.SZ,20260123,22.7,22.74,22.25,22.31,22.59,-0.2800000000000011,-1.239486498450647,580612.0,,tushare_legacy_get_k_data,49.642533917933285,0.1676969159402013,0.21469406914698475,-0.09399430641356687,22.517,23.38662290678189,21.647377093218108,26.09397584009855,30.918331586091174,16.445264348113305
000776.SZ,20260126,22.22,22.95,22.19,22.71,22.31,0.4000000000000021,1.792917974002699,901796.0,,tushare_legacy_get_k_data,54.774889532080735,0.17094854761720413,0.20594496484102862,-0.06999283444764898,22.5525,23.39225889396885,21.712741106031146,33.20058159454848,31.67908158891028,36.243581605824886
000776.SZ,20260127,22.66,22.83,22.32,22.51,22.71,-0.1999999999999993,-0.8806693086745896,521677.0,,tushare_legacy_get_k_data,51.92527345963413,0.1555935747417294,0.1958746868211688,-0.08056222415887876,22.568,23.392465887711428,21.743534112288575,36.90165355248387,33.41993891010148,43.86508283724865
000776.SZ,20260128,22.5,22.92,22.47,22.57,22.51,0.0599999999999987,0.2665482007996389,670270.0,,tushare_legacy_get_k_data,52.719946966145294,0.14657650397328936,0.18601505025159293,-0.07887709255660713,22.5995,23.37209238929709,21.826907610702907,41.900680427394335,36.24685274919909,53.20833578378482
000776.SZ,20260129,22.51,23.03,22.22,22.91,22.57,0.3399999999999998,1.5064244572441288,978413.0,,tushare_legacy_get_k_data,57.05230302263226,0.16496396700116733,0.18180483360150781,-0.03368173320068096,22.647,23.371819977649473,21.922180022350524,56.669419135504235,43.054374877967476,83.89950765057776
000776.SZ,20260130,22.82,23.1,22.39,22.49,22.91,-0.4200000000000017,-1.833260584897432,665366.0,,tushare_legacy_get_k_data,50.8533186219458,0.14398589425091757,0.17424104573138977,-0.060510302960944395,22.670499999999997,23.340917034389626,22.000082965610368,48.76862374601371,44.95912450064955,56.38762223674203
